train_years,train_rows,model,tier,mae,rmse,r2,nrmse,mbe,skill
0.083,728,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
0.083,728,nhits,tier-2,38.327,55.551,0.9573,0.1277,4.424,0.2017
0.083,728,extra_trees,tier-1,36.046,58.608,0.9525,0.1348,-0.093,0.1578
0.083,728,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
0.083,728,lstm,tier-2,54.13,75.239,0.9217,0.173,8.747,-0.0812
0.083,728,xgboost,tier-1,52.853,78.042,0.9158,0.1795,-22.61,-0.1215
0.25,2192,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
0.25,2192,nhits,tier-2,30.598,50.735,0.9644,0.1167,1.26,0.2709
0.25,2192,extra_trees,tier-1,31.203,56.422,0.956,0.1297,15.674,0.1892
0.25,2192,xgboost,tier-1,34.912,62.293,0.9464,0.1432,-2.134,0.1048
0.25,2192,lstm,tier-2,45.913,68.642,0.9349,0.1578,9.978,0.0136
0.25,2192,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
0.5,4383,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
0.5,4383,nhits,tier-2,26.259,48.855,0.967,0.1123,2.266,0.2979
0.5,4383,extra_trees,tier-1,27.361,53.776,0.96,0.1237,12.254,0.2272
0.5,4383,xgboost,tier-1,29.896,56.974,0.9551,0.131,6.424,0.1813
0.5,4383,lstm,tier-2,39.069,61.797,0.9472,0.1421,14.647,0.112
0.5,4383,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
1.0,8766,extra_trees,tier-1,21.581,42.156,0.9754,0.0969,-0.96,0.3942
1.0,8766,xgboost,tier-1,23.813,44.314,0.9729,0.1019,0.71,0.3632
1.0,8766,nhits,tier-2,24.356,46.47,0.9701,0.1069,1.75,0.3322
1.0,8766,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
1.0,8766,lstm,tier-2,31.316,52.083,0.9625,0.1198,1.678,0.2516
1.0,8766,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
2.0,17532,extra_trees,tier-1,20.382,41.329,0.9764,0.095,0.061,0.4061
2.0,17532,xgboost,tier-1,22.401,42.35,0.9752,0.0974,2.38,0.3914
2.0,17532,nhits,tier-2,23.566,46.058,0.9707,0.1059,2.397,0.3381
2.0,17532,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
2.0,17532,lstm,tier-2,35.721,53.254,0.9608,0.1225,-15.467,0.2347
2.0,17532,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
3.0,26298,extra_trees,tier-1,19.92,41.054,0.9767,0.0944,0.134,0.41
3.0,26298,xgboost,tier-1,22.139,42.803,0.9747,0.0984,1.667,0.3849
3.0,26298,nhits,tier-2,23.47,46.306,0.9704,0.1065,1.612,0.3346
3.0,26298,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
3.0,26298,lstm,tier-2,37.486,55.688,0.9571,0.1281,14.923,0.1998
3.0,26298,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
4.0,34890,extra_trees,tier-1,19.879,41.072,0.9767,0.0944,-0.314,0.4098
4.0,34890,xgboost,tier-1,22.228,42.903,0.9746,0.0987,1.691,0.3835
4.0,34890,nhits,tier-2,23.106,46.213,0.9705,0.1063,-0.132,0.3359
4.0,34890,chronos2,tier-3,26.796,48.643,0.9673,0.1119,5.049,0.301
4.0,34890,lstm,tier-2,32.53,52.67,0.9616,0.1211,4.514,0.2431
4.0,34890,smart_persistence,tier-0,54.356,69.589,0.933,0.16,-43.384,0.0
